Risk Factor,Early Completion Dates,Project Result,Actual duration
1.2,"[0, 9, 14, 16, 13, 20, 28, 29, 26, 39, 46, 44]",Acceptable,405
1.2,"[0, 13, 20, 20, 17, 23, 31, 34, 27, 39, 46, 44]",Acceptable,422
1.0,"[0, 10, 15, 18, 13, 22, 26, 31, 29, 38, 45, 43]",Successful,340
1.2,"[0, 16, 22, 23, 21, 27, 35, 35, 34, 45, 49, 49]",Successful,381
1.2,"[0, 14, 23, 21, 18, 28, 34, 38, 33, 45, 52, 49]",Acceptable,403
0.8,"[0, 16, 22, 21, 19, 25, 31, 32, 29, 39, 45, 43]",Successful,354
1.4,"[0, 13, 18, 19, 18, 23, 31, 31, 29, 38, 44, 43]",Acceptable,413
0.8,"[0, 10, 17, 15, 13, 20, 25, 27, 28, 40, 44, 43]",Successful,349
1.0,"[0, 8, 15, 14, 13, 19, 26, 28, 26, 38, 45, 43]",Acceptable,390
1.4,"[0, 13, 18, 20, 19, 25, 32, 34, 32, 43, 49, 46]",Failed,456
1.0,"[0, 13, 21, 18, 17, 25, 31, 32, 31, 43, 49, 48]",Successful,386
1.0,"[0, 10, 15, 18, 13, 21, 28, 27, 28, 36, 42, 40]",Successful,358
1.4,"[0, 14, 21, 20, 18, 23, 29, 32, 30, 40, 45, 43]",Failed,439
1.4,"[0, 16, 24, 25, 21, 29, 38, 38, 36, 49, 56, 53]",Failed,429
1.0,"[0, 17, 23, 22, 21, 27, 32, 36, 34, 45, 50, 49]",Successful,380
0.8,"[0, 13, 18, 18, 17, 21, 26, 31, 25, 40, 45, 44]",Successful,343
1.0,"[0, 12, 19, 20, 18, 25, 32, 35, 33, 43, 47, 45]",Successful,371
0.8,"[0, 9, 14, 15, 13, 17, 25, 26, 21, 33, 37, 36]",Successful,344
1.0,"[0, 10, 18, 16, 13, 21, 29, 27, 26, 39, 44, 42]",Acceptable,394
1.0,"[0, 11, 16, 17, 16, 22, 28, 31, 29, 38, 45, 42]",Successful,373
1.2,"[0, 9, 17, 14, 12, 22, 26, 31, 30, 41, 47, 47]",Acceptable,417
0.8,"[0, 16, 21, 23, 19, 26, 31, 32, 34, 40, 44, 43]",Successful,348
0.8,"[0, 10, 15, 14, 15, 19, 25, 25, 24, 30, 36, 32]",Successful,351
0.8,"[0, 10, 14, 14, 13, 19, 26, 27, 26, 32, 37, 36]",Successful,353
1.0,"[0, 9, 16, 13, 12, 21, 26, 27, 26, 36, 44, 41]",Successful,358
0.8,"[0, 11, 15, 15, 14, 19, 25, 28, 27, 34, 42, 37]",Successful,352
0.8,"[0, 9, 14, 15, 13, 18, 23, 28, 24, 35, 41, 39]",Successful,361
1.0,"[0, 8, 12, 15, 12, 19, 25, 25, 26, 34, 39, 37]",Successful,382
1.2,"[0, 17, 24, 25, 21, 29, 34, 39, 36, 48, 54, 53]",Acceptable,396
0.8,"[0, 17, 21, 20, 20, 24, 30, 31, 33, 40, 46, 44]",Successful,359
1.0,"[0, 9, 15, 14, 14, 19, 23, 27, 25, 34, 38, 38]",Successful,355
1.2,"[0, 13, 19, 17, 18, 23, 31, 31, 30, 39, 44, 43]",Acceptable,394
1.2,"[0, 13, 20, 19, 17, 25, 32, 34, 32, 43, 49, 48]",Acceptable,390
1.2,"[0, 13, 19, 20, 16, 23, 31, 31, 27, 38, 46, 42]",Acceptable,413
1.4,"[0, 15, 22, 21, 20, 24, 31, 34, 31, 45, 50, 49]",Failed,451
1.0,"[0, 12, 19, 16, 16, 22, 29, 33, 27, 42, 48, 44]",Successful,386
0.8,"[0, 10, 14, 15, 12, 18, 26, 25, 23, 36, 42, 40]",Successful,347
0.8,"[0, 12, 16, 18, 15, 20, 25, 26, 24, 32, 37, 36]",Successful,361
0.8,"[0, 9, 16, 14, 13, 20, 23, 26, 26, 31, 36, 35]",Successful,333
1.4,"[0, 11, 19, 16, 15, 24, 32, 34, 32, 46, 54, 49]",Acceptable,422
1.2,"[0, 14, 19, 22, 19, 25, 31, 33, 33, 41, 48, 46]",Acceptable,415
1.0,"[0, 12, 20, 19, 17, 24, 28, 33, 31, 42, 48, 46]",Successful,380
1.4,"[0, 10, 18, 15, 15, 21, 25, 31, 27, 43, 49, 47]",Acceptable,419
1.0,"[0, 14, 20, 19, 17, 25, 32, 32, 30, 40, 46, 43]",Successful,381
1.2,"[0, 14, 20, 22, 18, 28, 36, 38, 35, 46, 55, 49]",Acceptable,399
1.4,"[0, 10, 14, 16, 15, 21, 26, 26, 27, 36, 44, 41]",Failed,429
0.8,"[0, 10, 18, 18, 15, 22, 28, 30, 27, 37, 41, 40]",Successful,369
1.4,"[0, 14, 19, 22, 18, 28, 36, 39, 34, 47, 54, 52]",Failed,439
1.2,"[0, 13, 20, 20, 16, 25, 33, 33, 31, 42, 49, 46]",Acceptable,390
1.2,"[0, 11, 17, 19, 16, 24, 27, 32, 31, 42, 49, 45]",Successful,384
1.0,"[0, 11, 15, 18, 15, 22, 29, 29, 27, 38, 44, 42]",Successful,382
1.0,"[0, 12, 19, 18, 16, 23, 28, 28, 28, 37, 43, 42]",Acceptable,401
1.4,"[0, 16, 24, 23, 20, 27, 32, 37, 34, 48, 53, 52]",Acceptable,414
1.4,"[0, 16, 24, 24, 21, 29, 34, 37, 37, 44, 51, 49]",Failed,431
1.4,"[0, 16, 23, 24, 21, 28, 36, 34, 35, 42, 50, 47]",Acceptable,412
1.2,"[0, 16, 21, 22, 19, 28, 33, 36, 33, 44, 51, 47]",Successful,381
1.2,"[0, 14, 20, 21, 17, 24, 29, 31, 27, 41, 49, 46]",Successful,388
1.0,"[0, 10, 15, 16, 16, 20, 27, 31, 25, 38, 42, 41]",Successful,366
0.8,"[0, 7, 13, 13, 11, 18, 25, 27, 23, 35, 42, 39]",Successful,340
1.4,"[0, 12, 20, 18, 16, 25, 30, 36, 31, 47, 53, 52]",Failed,442
1.2,"[0, 14, 21, 22, 19, 26, 32, 34, 31, 41, 46, 45]",Failed,432
1.4,"[0, 15, 23, 22, 19, 29, 35, 39, 35, 49, 55, 54]",Failed,428
1.0,"[0, 8, 15, 13, 10, 17, 22, 24, 20, 33, 40, 37]",Successful,378
1.4,"[0, 13, 20, 18, 18, 26, 34, 36, 32, 43, 51, 48]",Acceptable,426
0.8,"[0, 11, 17, 17, 15, 20, 26, 27, 26, 33, 41, 36]",Acceptable,395
1.0,"[0, 14, 20, 20, 18, 23, 29, 32, 29, 37, 43, 41]",Successful,385
1.0,"[0, 7, 12, 14, 11, 18, 23, 24, 22, 34, 38, 38]",Acceptable,401
0.8,"[0, 10, 15, 15, 13, 20, 25, 28, 24, 39, 46, 42]",Successful,333
1.0,"[0, 15, 23, 21, 19, 26, 33, 36, 33, 42, 46, 47]",Acceptable,396
0.8,"[0, 17, 22, 22, 21, 25, 30, 31, 33, 37, 42, 42]",Successful,372
1.4,"[0, 16, 20, 24, 20, 28, 34, 37, 33, 47, 56, 51]",Failed,429
1.2,"[0, 11, 17, 18, 15, 23, 27, 30, 29, 37, 43, 42]",Successful,384
0.8,"[0, 14, 19, 21, 19, 24, 29, 29, 29, 34, 38, 38]",Successful,380
1.4,"[0, 15, 22, 22, 18, 27, 32, 34, 35, 45, 53, 48]",Acceptable,419
1.2,"[0, 17, 21, 22, 21, 27, 35, 35, 32, 45, 49, 50]",Acceptable,394
0.8,"[0, 14, 17, 20, 17, 23, 29, 33, 28, 39, 43, 43]",Successful,345
0.8,"[0, 16, 21, 22, 20, 25, 29, 31, 31, 40, 45, 43]",Successful,330
0.8,"[0, 8, 14, 12, 11, 17, 23, 22, 23, 31, 35, 34]",Successful,365
1.0,"[0, 7, 10, 13, 10, 16, 23, 26, 21, 31, 36, 36]",Successful,369
1.0,"[0, 10, 16, 17, 14, 21, 26, 30, 26, 37, 43, 41]",Successful,371
1.2,"[0, 10, 17, 15, 15, 21, 27, 26, 29, 38, 45, 43]",Acceptable,403
0.8,"[0, 10, 17, 16, 13, 20, 25, 25, 25, 35, 40, 39]",Successful,345
1.4,"[0, 7, 14, 15, 11, 19, 23, 30, 27, 41, 49, 44]",Failed,442
1.2,"[0, 15, 22, 20, 17, 27, 35, 36, 34, 45, 50, 49]",Acceptable,396
1.4,"[0, 11, 19, 19, 16, 22, 27, 33, 27, 41, 49, 44]",Acceptable,406
0.8,"[0, 9, 14, 14, 13, 17, 21, 24, 24, 31, 35, 33]",Successful,317
0.8,"[0, 7, 13, 13, 11, 16, 23, 21, 22, 29, 33, 32]",Successful,381
1.2,"[0, 15, 22, 23, 19, 28, 36, 38, 37, 48, 55, 52]",Acceptable,411
1.0,"[0, 12, 18, 20, 15, 24, 29, 33, 32, 39, 48, 44]",Acceptable,391
0.8,"[0, 12, 19, 17, 16, 22, 26, 30, 27, 40, 48, 44]",Successful,371
1.4,"[0, 16, 24, 23, 22, 28, 33, 35, 35, 44, 49, 50]",Failed,440
0.8,"[0, 14, 20, 19, 17, 23, 30, 30, 28, 40, 46, 45]",Successful,361
1.4,"[0, 13, 21, 21, 18, 27, 32, 37, 33, 46, 55, 51]",Acceptable,415
0.8,"[0, 15, 23, 22, 19, 26, 33, 32, 32, 39, 46, 42]",Successful,354
1.0,"[0, 9, 14, 13, 12, 19, 27, 29, 25, 33, 39, 37]",Successful,377
1.0,"[0, 7, 11, 14, 11, 17, 23, 24, 24, 30, 35, 34]",Successful,366
1.0,"[0, 12, 18, 18, 16, 22, 26, 30, 27, 37, 42, 41]",Successful,383
1.2,"[0, 9, 16, 16, 12, 21, 26, 32, 26, 42, 50, 47]",Acceptable,401
1.2,"[0, 11, 17, 20, 15, 24, 31, 30, 31, 38, 43, 43]",Successful,381
1.4,"[0, 15, 23, 23, 19, 29, 37, 38, 36, 49, 56, 51]",Failed,441
1.2,"[0, 12, 18, 18, 14, 23, 29, 31, 29, 42, 48, 48]",Failed,431
1.4,"[0, 16, 23, 24, 21, 29, 36, 36, 38, 48, 56, 53]",Acceptable,422
1.2,"[0, 11, 18, 19, 15, 22, 28, 29, 27, 37, 42, 41]",Acceptable,394
1.4,"[0, 15, 23, 23, 20, 29, 36, 38, 33, 49, 56, 54]",Failed,432
1.2,"[0, 16, 21, 22, 20, 26, 33, 34, 32, 43, 50, 46]",Acceptable,423
1.0,"[0, 12, 16, 18, 16, 22, 27, 28, 29, 39, 47, 42]",Successful,371
